"","ctrl_1","ctrl_2","ctrl_3","ctrl_4","ctrl_5","tx_1","tx_2","tx_3","tx_4","tx_5"
"Mir30b",0,0,0,0,0,0,0,0,0,0
"Mir30d",0,0,0,0,0,0,0,0,0,0
"4930504C09Rik",0,0,0,0,0,0,0,0,0,0
"Kcnk9",0,0,0,0,0,0,0,0,0,0
"Peg13",349,140,277,213,234,208,232,291,181,236
"Chrac1",425,205,481,222,165,485,430,366,438,625
"Mir151",0,0,0,0,0,0,0,0,0,0
"Slc45a4",35,58,71,16,3,71,103,122,78,77
"Ptp4a3",319,221,649,150,249,207,234,287,507,238
"Gpr20",0,0,0,0,0,0,0,0,0,0
"Mroh4",0,0,0,0,0,0,0,0,0,0
"Arc",292,279,911,22,152,567,693,1040,420,857
"Jrk",0,0,28,0,0,4,0,31,17,14
"4933427E11Rik",0,0,0,0,0,0,0,0,0,0
"Them6",71,19,188,44,49,169,131,296,142,74
"Lynx1",58,18,269,0,70,84,184,40,59,183
"Lypd2",0,0,0,0,0,0,0,0,0,0
"Gml2",0,0,0,0,0,0,0,0,0,0
"Ly6d",2489,2868,6579,1682,2536,4534,3864,7047,4043,3868
"D730001G18Rik",0,0,0,0,0,0,0,0,0,0
"Psca",0,0,0,0,0,2,16,0,31,152
"Ly6k",53,75,0,0,14,34,45,0,19,9
"Gml",0,0,0,0,0,0,0,0,0,0
"Slurp2",0,0,0,0,0,0,0,0,0,0
"Slurp1",0,0,0,0,0,0,0,0,0,0
"Cyp11b1",0,0,0,0,0,0,0,0,0,0
"2010109I03Rik",0,68,0,0,31,0,0,0,0,0
"Cyp11b2",0,0,0,0,0,0,0,0,0,0
"Ly6e",4542,3489,8696,3451,3420,6866,6353,10327,5343,7406
"Ly6c1",63,89,130,0,39,36,29,0,94,4
"Ly6a",1922,2332,2785,1500,1457,3083,2551,4559,1613,2898
"Ly6i",11,127,21,0,61,28,50,25,38,3
"Ly6c2",2849,4170,3306,1827,2128,5454,3861,4026,2496,3955
"Ly6g",0,0,0,0,0,0,0,0,0,0
"Ly6f",0,0,0,0,0,0,0,0,0,0
"9030619P08Rik",0,0,0,0,0,0,0,0,18,1
"Ly6h",0,0,0,0,0,0,0,0,0,0
"Zfp41",56,0,19,85,0,86,55,28,0,35
"Gpihbp1",0,5,0,37,1,0,6,0,17,10
"Rhpn1",0,0,36,0,0,0,0,0,0,0
"Mafa",0,0,0,0,0,0,0,0,0,0
"Top1mt",17,7,14,77,5,21,46,13,96,55
"Mroh6",0,0,0,0,0,0,0,0,0,0
"Gsdmd",473,354,747,288,221,915,1135,1717,573,1179
"Tsta3",171,175,170,39,35,222,104,421,257,81
"Eef1d",2121,2336,6026,1693,2174,3698,3376,7586,3673,5722
"Zfp623",20,0,0,44,97,41,52,10,90,101
"Pycrl",82,55,99,183,83,367,102,263,25,99
"Naprt",33,0,41,41,10,20,1,59,59,16
"Ccdc166",79,0,126,8,0,188,53,87,54,10
"Fam83h",0,0,0,0,0,0,0,2,0,0
"Zfp707",187,143,169,27,63,263,195,475,310,216
"Mapk15",0,0,0,0,0,0,0,0,0,0
"Tigd5",30,0,0,0,18,8,0,17,0,0
"Puf60",739,705,1519,805,610,1189,1313,2114,1092,981
"Mir6952",0,0,0,0,0,0,0,0,0,0
"Eppk1",0,0,0,0,0,22,0,0,0,0
"BC024139",0,0,0,0,0,0,0,0,0,0
"Scrib",191,137,780,265,186,201,303,437,322,343
"Nrbp2",0,0,144,45,59,0,73,62,1,86
"Plec",773,377,599,743,809,699,741,383,314,487
"Mir6953",0,0,0,0,0,0,0,0,0,0
"Mir1942",0,0,0,0,0,0,0,0,0,0
"Mirt2",0,0,47,0,0,0,21,0,0,0
"Parp10",231,165,393,476,73,394,462,1089,533,580
"Grina",364,491,2017,298,508,874,930,3277,946,1599
"Smpd5",33,80,111,47,55,29,66,30,5,2
"Maf1",402,637,389,297,143,333,526,609,586,443
"Gpaa1",416,196,646,232,114,609,1003,631,702,587
"Cyc1",483,517,542,280,300,640,678,817,615,367
"Sharpin",313,281,863,542,332,616,913,979,647,1450
"Hgh1",11,33,206,272,49,159,127,145,79,82
"Tssk5",0,0,0,0,0,0,0,0,0,0
"Oplah",0,2,0,23,0,37,5,16,0,30
"Exosc4",195,189,495,91,89,203,204,306,191,210
"Bop1",43,123,279,20,123,194,165,395,218,180
"Scrt1",0,0,0,0,0,0,0,0,11,0
"Hsf1",45,102,51,101,60,128,149,175,72,146
"Slc52a2",42,39,194,18,38,123,85,324,35,98
"Mir6954",0,0,0,0,0,0,0,0,0,0
"Fbxl6",202,91,324,110,113,156,241,693,257,233
"Dgat1",230,302,1161,241,362,420,680,1165,574,850
"Scx",0,0,0,0,0,0,0,0,0,11
"Cpsf1",357,104,543,96,121,552,542,897,379,612
"Cyhr1",329,373,705,287,206,471,535,1047,361,727
"Vps28",964,662,2066,816,680,1986,2306,2727,1940,2619
"Kifc2",15,0,74,34,0,96,112,22,59,80
"Tonsl",38,31,140,129,104,20,132,14,1,13
"Adck5",77,74,61,135,59,104,74,158,42,87
"Slc39a4",12,0,202,5,120,120,16,159,9,148
"Foxh1",0,0,0,0,0,0,6,6,0,0
"C030006K11Rik",116,48,32,0,30,43,127,96,231,15
"Gpt",44,20,65,65,38,4,28,111,24,65
"Lrrc24",0,0,0,0,33,0,0,0,0,0
"Mfsd3",52,1,56,0,27,2,23,188,25,87
"Recql4",0,0,157,0,0,40,24,25,0,63
"Lrrc14",217,198,452,80,88,193,209,580,292,455
"Zfp251",96,8,25,127,5,17,9,106,41,6
"Commd5",122,105,471,34,155,215,280,455,288,224
"Rpl8",8630,8839,24304,6060,6662,17283,17898,30583,17444,21453
"Zfp647",0,0,0,0,0,0,10,0,0,0
"Zfp7",5,83,28,67,0,27,72,100,30,14
"Mb",0,0,0,0,0,27,0,0,0,19
"Apol6",0,0,30,44,41,0,42,0,20,0
"1110038F14Rik",514,430,807,350,361,725,624,997,436,865
"1700109K24Rik",0,0,0,0,0,0,0,0,0,0
"Apol7a",0,0,0,0,0,0,0,0,0,0
"Apol9a",0,0,0,0,0,0,0,0,0,0
"Apol7b",0,0,0,0,0,0,0,0,0,0
"Apol7c",471,231,23,93,306,370,311,229,207,157
"Apol10a",0,0,0,0,0,0,0,0,0,0
"Apol11a",0,0,0,0,0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0
"Apol11b",0,44,0,0,0,0,25,0,0,13
"Apol7e",1,0,4,16,10,1,9,0,0,8
"Apol8",0,0,0,0,0,0,0,0,32,0
"Apol9b",0,0,0,0,0,39,0,0,0,60
"Myh9",4016,3926,3579,5022,4075,3783,4412,4668,3700,3832
"Foxred2",305,258,435,80,252,429,419,889,423,632
"Eif3d",1709,1141,2442,1288,695,2000,2018,4250,2391,3153
"Txn2",462,319,1130,338,342,604,591,951,670,594
"Pvalb",4,0,43,0,0,8,0,0,137,0
"Ift27",80,106,221,0,26,175,199,92,73,221
"Csf2rb2",988,1253,1027,367,437,1683,1851,2114,1330,2196
"Csf2rb",3645,2199,5699,1983,1916,5727,5872,5931,4821,7014
"Mir7676-2",0,0,0,0,0,0,0,0,0,0
"Mir7676-1",0,0,0,0,0,0,0,0,0,0
"Kctd17",159,118,288,101,68,213,194,643,419,471
"Mpst",651,1091,578,472,724,2454,1662,2638,1695,2619
"Tst",0,0,5,0,0,0,0,1,4,1
"Il2rb",1208,1460,5192,554,575,1402,2193,3937,1628,1988
"Tmprss6",0,0,0,0,0,0,0,0,0,0
"Rac2",2524,2226,7043,1071,1395,3388,3305,5482,2738,3853
"Sstr3",0,0,0,0,0,0,0,27,0,0
"C1qtnf6",10,38,20,86,63,64,10,131,0,14
"Cyth4",1648,1292,3322,1105,831,3123,2888,2758,2552,2933
"Mfng",367,157,939,202,126,444,579,848,677,472
"Elfn2",0,9,0,0,0,0,0,0,37,0
"Mir6955",0,0,0,0,0,0,0,0,0,0
"Lgals2",0,0,0,0,0,0,0,0,0,0
"Cdc42ep1",10,0,32,0,0,9,51,85,0,0
"Card10",24,30,92,39,58,115,96,102,17,100
"Gga1",142,183,683,125,28,213,364,539,282,565
"Mir6956",0,0,0,0,0,0,0,0,0,0
"Triobp",247,132,685,96,88,243,443,489,288,636
"Nol12",164,148,137,220,82,269,275,451,81,88
"Gm10865",0,0,0,0,0,0,0,0,0,0
"Lgals1",1565,1754,3756,1029,1349,3438,3199,3096,2126,3060
"H1f0",272,320,495,77,207,593,703,940,663,772
"Pdxp",21,51,273,25,8,46,124,62,17,117
"1700088E04Rik",0,0,0,0,0,0,0,0,0,0
"Polr2f",439,330,996,317,391,983,1176,1261,1397,1288
"Eif3l",344,269,773,268,373,572,558,961,229,967
"Galr3",0,0,0,0,0,0,0,0,0,0
"Ankrd54",291,217,983,283,188,417,499,776,316,877
"Micall1",320,288,416,740,373,224,279,224,419,351
"Sox10",0,0,0,0,0,0,0,60,0,0
"Baiap2l2",0,0,0,0,0,7,0,0,0,0
"Pick1",111,17,86,7,10,41,70,222,97,129
"Slc16a8",0,0,0,0,0,0,0,0,0,0
"Maff",140,49,192,47,95,117,206,310,229,69
"Mir1943",0,0,0,0,0,0,0,0,0,0
"Tmem184b",35,167,106,9,72,144,254,368,137,221
"Kcnj4",0,0,0,0,0,0,0,0,0,0
"Ddx17",4388,3349,5131,2653,3142,4677,4954,5009,3849,5262
"Kdelr3",16,0,50,0,0,0,0,0,0,0
"Dmc1",7,0,0,0,42,0,0,28,24,0
"Cby1",31,0,0,16,60,66,19,15,84,22
"Fam227a",28,30,0,5,0,19,41,0,0,3
"Tomm22",351,691,1035,85,311,1129,711,722,816,956
"Josd1",157,134,199,120,172,199,295,652,223,393
"Nptxr",0,0,0,0,0,0,0,0,0,0
"Dnal4",171,20,187,20,166,294,232,401,321,398
"Sun2",1796,1889,2446,796,1225,2490,1906,2394,2133,2393
"Gm16576",8,39,0,21,7,14,5,20,0,86
"D730005E14Rik",305,392,444,578,284,290,475,608,327,322
"Apobec3",2153,1703,3552,860,1791,3116,2787,4549,2129,3087
"Cbx7",601,298,1356,102,337,431,744,1357,636,939
"Cbx6",460,421,1323,617,388,644,703,1463,898,915
"Mir7213",0,0,0,0,0,0,0,0,0,0
"Pdgfb",10,19,7,0,0,42,19,34,51,48
"Snord83b",11,14,0,0,0,0,1,0,0,41
"Snord43",0,0,0,0,0,0,0,0,0,0
"Rpl3",4393,4798,6131,1676,3602,7130,6095,11996,6388,8477
"Tab1",52,77,188,2,36,131,97,308,196,172
"Syngr1",65,11,219,16,44,136,54,218,34,221
"Mgat3",0,0,0,0,0,0,0,0,0,0
"Mief1",38,137,99,94,137,113,137,176,102,132
"Atf4",2162,2173,6174,2281,2075,5141,4033,7574,3929,6511
"Rps19bp1",177,169,215,437,75,172,217,243,71,260
"Mir6957",0,0,0,0,0,0,0,0,0,0
"Fam83f",80,55,188,79,91,137,116,356,121,221
"A430088P11Rik",41,41,0,7,40,0,2,1,0,15
"Adsl",196,159,306,83,170,216,179,292,208,182
"Mir5113",0,0,0,0,0,0,0,0,0,0
"Mchr1",0,0,0,0,0,0,0,0,0,0
"4930483J18Rik",0,0,0,0,0,0,0,0,0,0
"8430426J06Rik",0,0,0,0,0,0,10,0,0,0
"Slc25a17",145,184,199,28,68,209,185,300,91,191
"Dnajb7",0,0,31,37,21,0,0,0,0,23
"Rbx1",420,556,490,306,424,463,719,545,388,658
"Xpnpep3",43,45,190,13,137,48,89,96,170,38
"Ep300",563,539,327,883,666,530,495,725,461,405
"Rangap1",938,581,1948,1013,748,1224,1321,1993,920,1370
"L3mbtl2",71,118,76,0,51,28,33,170,63,148
"Chadl",0,0,0,0,0,0,0,0,0,1
"Tef",297,207,637,232,317,597,573,829,392,649
"Aco2",633,696,833,491,394,854,850,591,544,718
"Phf5a",745,625,1922,1129,547,1490,1408,2324,1184,1535
"Tob2",909,1166,921,285,801,1348,1353,1457,821,1618
"Nhp2l1",48,49,148,9,42,64,55,176,223,153
"Xrcc6",162,107,85,53,95,189,121,346,105,223
"1700029P11Rik",0,0,0,0,0,0,0,0,0,0
"Pmm1",69,76,150,51,39,202,196,419,252,344
"Desi1",208,153,656,90,122,188,221,435,328,278
"Csdc2",0,0,0,0,0,0,0,0,0,0
"Mei1",0,0,0,0,0,0,0,0,19,0
"4930407I10Rik",0,0,0,0,0,0,0,0,0,0
"Ccdc134",77,176,293,128,91,73,147,159,102,138
"Cenpm",118,63,248,24,18,36,19,188,31,172
"Mir33",0,0,0,0,0,0,0,0,0,0
"Sept3",176,357,221,270,134,183,444,319,271,355
"Shisa8",0,0,24,0,0,0,14,104,11,50
"Tnfrsf13c",352,310,886,158,240,270,308,301,317,220
"1500009C09Rik",0,0,0,0,0,0,0,0,0,12
"Cyp2d10",0,0,0,0,0,0,0,0,0,0
"Fam109b",68,0,0,0,42,0,0,0,0,0
"Cyp2d22",0,0,30,0,0,0,0,27,0,2
"Ndufa6",3755,3483,4337,900,2017,6365,5925,8215,5369,7595
"Smdt1",1000,732,1999,791,582,1969,1558,1987,1694,1853
"Mir7684",0,0,0,0,0,0,0,0,0,0
"Naga",196,303,50,197,129,105,179,122,123,102
"Cyp2d11",0,0,0,0,0,0,0,0,0,0
"Cyp2d12",0,0,0,0,0,0,0,0,0,0
"Cyp2d9",0,0,0,0,0,0,0,0,0,0
"Cyp2d13",0,0,0,0,0,0,0,0,0,0
"Cyp2d37-ps",0,0,0,0,0,0,0,0,0,0
"Cyp2d34",0,0,0,0,0,0,0,0,0,0
"Cyp2d40",0,0,0,0,0,0,0,0,0,0
"Cyp2d26",0,0,0,0,0,0,0,0,0,0
"Tbrg3",298,294,100,447,591,182,354,97,17,114
"Mir3080",0,0,0,0,0,0,0,0,0,0
"Gm20324",35,0,10,0,1,56,47,58,0,209
"Nfam1",367,447,709,608,354,598,790,891,620,540
"Poldip3",922,691,1544,438,578,1048,1328,2119,1000,1444
"Rnu12",0,27,0,0,6,107,36,77,46,33
"Cyb5r3",548,519,1277,276,428,1206,1017,2400,1350,1788
"Serhl",252,201,562,159,151,716,426,808,494,584
"Rrp7a",157,60,223,38,81,99,160,292,149,186
"Arfgap3",218,222,274,153,94,178,214,181,238,234
"Pacsin2",83,80,129,31,162,160,205,269,145,136
"Tspo",1751,2233,3241,1245,1220,3953,3560,6335,3459,5435
"Ttll12",44,51,203,0,59,168,99,175,121,56
"Bik",22,21,0,0,0,2,1,80,0,38
"Mcat",98,3,342,72,94,230,257,328,268,244
"Mpped1",0,0,0,0,0,0,0,0,0,21
"Pnpla5",0,0,0,0,0,0,0,0,0,0
"Sult4a1",0,0,0,0,0,0,0,0,0,0
"Mir6392",0,0,0,0,0,0,0,0,0,0
"Pnpla3",47,111,7,57,5,31,68,0,10,0
"Samm50",865,589,2377,560,628,1492,1420,2651,1494,2307
"Parvg",788,794,2126,210,360,945,1174,2032,1113,1194
"Ldoc1l",47,22,59,28,91,47,60,101,8,183
"Arhgap8",18,0,72,10,0,0,11,3,0,0
"Prr5",121,79,134,25,103,216,83,237,86,68
"Gm20556",0,0,0,0,0,0,0,0,0,0
"Mir1249",0,15,0,0,0,0,0,0,0,0
"Fam118a",79,2,34,10,33,112,51,49,58,45
"Upk3a",0,0,0,0,0,0,0,0,0,0
"5031439G07Rik",370,200,1153,623,256,541,395,1025,404,774
"Ribc2",0,0,0,28,0,0,0,0,0,0
"Gm19277",0,0,0,0,0,0,0,0,0,0
"Fbln1",0,0,0,0,0,0,0,0,0,0
"Wnt7b",0,0,0,35,0,0,0,77,0,63
"7530416G11Rik",0,0,0,49,0,0,0,0,0,0
"Lncppara",1,0,36,0,5,75,34,49,53,0
"Mirlet7b",0,0,0,0,0,0,0,0,0,0
"Mirlet7c-2",0,0,0,0,0,0,0,0,0,0
"Cdpf1",103,143,157,26,56,119,112,208,83,220
"Pkdrej",0,0,0,0,0,0,0,0,0,0
"Ppara",26,3,29,0,0,34,74,16,9,0
"Gtse1",1,0,37,0,4,33,22,40,18,21
"Trmu",23,69,75,98,5,63,95,253,13,174
"Cerk",620,990,1524,768,642,862,971,1034,594,916
"Mir6393",0,0,0,0,0,0,0,0,0,0
"Zdhhc25",0,0,0,0,0,0,0,0,0,0
"Brd1",953,880,391,880,700,969,871,774,505,721
"Alg12",130,32,89,41,0,204,80,214,54,105
"Creld2",383,116,178,208,196,526,325,272,289,416
"Zbed4",259,121,241,152,124,402,217,352,261,335
"Pim3",389,730,2867,98,408,1132,1193,4755,1208,2311
"Mlc1",38,0,34,0,0,0,4,0,0,0
"Ttll8",0,0,0,0,0,0,0,0,0,0
"Trabd",219,211,494,136,324,270,361,850,513,569
"Panx2",0,0,0,0,0,0,0,0,0,0
"Hdac10",112,105,243,90,60,145,168,309,81,104
"Tubgcp6",95,0,166,0,53,112,74,25,48,44
"Selo",44,46,0,42,39,60,25,91,108,77
"1810021B22Rik",39,71,119,0,0,54,117,109,100,5
"Mir6958",0,0,0,0,0,0,0,0,0,0
"Mir7118",0,0,0,0,0,0,0,0,0,0
"Dennd6b",14,0,143,49,43,124,31,62,57,105
"Plxnb2",143,234,736,335,140,465,294,803,554,346
"Mapk11",84,69,386,137,57,41,271,161,83,29
"Mapk12",34,3,132,0,59,34,43,58,5,5
"Klhdc7b",0,0,0,0,0,0,0,0,0,0
"Miox",0,0,0,0,0,0,0,0,0,0
"Mir6959",0,0,0,0,0,0,0,0,0,0
"Tymp",0,0,0,0,0,0,0,0,0,0
"Ncaph2",329,183,752,284,210,757,517,709,391,482
"Odf3b",0,0,0,0,0,0,0,0,0,0
"Lmf2",217,149,453,41,39,152,220,213,465,220
"Adm2",0,0,0,0,0,0,0,10,0,0
"Sbf1",498,475,1005,529,303,497,600,1208,788,840
"Sco2",79,24,87,50,47,133,73,166,118,53
"Gm44502",0,0,0,0,0,0,0,0,0,0
"Arsa",68,114,59,19,66,17,52,149,41,120
"Chkb",235,82,132,129,265,256,411,351,176,272
"Mapk8ip2",0,0,0,0,0,0,0,0,0,0
"Cpt1b",0,0,0,0,0,0,0,0,0,0
"C230037L18Rik",9,13,172,67,61,13,54,0,0,91
"Rabl2",30,71,0,0,22,65,58,150,60,103
"Acr",0,0,0,0,0,0,0,0,0,0
"Alg10b",12,27,21,43,11,23,20,0,0,5
"Mir7648",0,0,0,0,0,0,0,0,0,0
"Spn-ps",0,0,0,0,0,0,0,0,0,0
"Abcd2",203,124,181,0,7,198,31,19,18,120
"Smgc",0,0,0,0,0,0,0,0,0,0
"Gxylt1",567,768,791,642,598,642,551,630,614,746
"Zcrb1",674,931,963,147,479,901,693,1312,523,1052
"9430014N10Rik",0,0,0,0,0,0,0,0,0,0
"D630010B17Rik",0,0,0,0,0,0,0,0,0,0
"Pus7l",32,0,40,37,71,17,0,8,0,110
"Irak4",637,158,453,742,395,551,637,523,554,481
"Twf1",19,165,12,4,54,91,152,150,77,127
"LOC100043315",0,0,0,0,0,0,0,0,0,0
"Dbx2",0,0,0,0,0,0,0,0,0,0
"Gm6961",0,0,0,0,0,0,0,0,0,0
"Gm4371",0,0,0,0,0,0,0,0,0,0
"2610037D02Rik",0,0,0,0,0,0,0,0,0,0
"E330033B04Rik",635,785,487,694,728,631,632,518,227,310
"4833422M21Rik",0,0,0,0,0,0,0,0,0,0
"Scaf11",1137,1522,774,1592,1387,882,905,903,359,1022
"Slc38a2",4556,4041,2284,1618,3042,5751,5394,3525,3840,4491
"Slc38a4",0,0,0,0,0,0,0,0,0,0
"Amigo2",2,0,38,0,0,15,0,0,0,1
"Endou",247,98,235,54,223,0,61,61,58,44
"Rapgef3",102,21,33,0,13,0,79,66,0,40
"Rpap3",105,48,145,278,165,286,197,126,313,251
"Hdac7",1638,1352,4024,1037,1466,1511,1955,2448,1235,1519
"Vdr",26,33,49,0,0,89,36,76,15,50
"Slc48a1",583,393,1594,633,209,963,808,1887,724,1435
"Col2a1",0,0,0,0,0,0,0,0,1,0
"Tmem106c",93,50,151,31,35,136,127,119,111,93
"Pfkm",1,7,8,211,0,17,7,149,3,0
"Ccdc184",21,0,43,22,57,16,0,69,36,0
"Asb8",269,235,127,59,129,377,263,400,149,507
"Olfr287",0,0,0,0,0,0,0,0,0,0
"Olfr286",0,0,0,0,0,0,0,0,0,0
"Olfr288",0,0,0,0,0,0,0,0,0,0
"Zfp641",0,0,0,0,0,0,0,0,0,0
"H1fnt",0,0,0,0,0,0,0,0,0,0
"Olfr285",0,0,0,0,0,0,0,0,0,0
"Olfr257",0,0,0,0,0,0,0,0,0,0
"Olfr284",0,0,0,0,0,0,0,0,0,0
"Olfr283",0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0
"Kansl2",10,2,3,0,16,19,31,0,36,0
"Olfr282",0,0,0,0,0,0,0,0,0,0
"Olfr281",0,0,0,0,0,0,0,0,0,0
"Olfr279",0,0,0,0,0,0,0,0,0,0
"Mir1291",0,0,0,0,0,0,0,0,0,0
"Snora2b",0,0,68,0,0,0,0,0,0,0
"Snora34",0,0,0,1,0,0,0,0,0,0
"Lalba",0,0,62,0,0,0,0,0,0,0
"Cacnb3",1308,558,2264,691,515,2588,2189,2650,2800,3388
"4930415O20Rik",0,0,0,0,0,0,0,0,0,18
"Rnd1",72,57,157,0,168,180,174,352,162,158
"9330020H09Rik",129,17,23,29,2,26,24,69,66,37
"Adcy6",1177,906,1081,286,402,1755,1775,2087,1947,1705
"Ddx23",207,196,303,201,314,256,227,220,389,175
"Fkbp11",2,0,59,0,0,0,17,75,0,0
"Wnt1",0,0,0,0,37,0,0,0,0,0
"Arf3",993,731,1556,875,654,1438,1161,1361,987,1705
"Wnt10b",0,0,0,0,0,0,4,0,0,0
"Ccdc65",0,0,0,0,0,0,0,0,0,0
"Ddn",0,30,0,0,0,1,8,0,15,25
"Lmbr1l",607,540,913,537,369,740,731,905,941,1014
"Tuba1b",2201,1786,8050,1523,1644,3042,4376,8235,2435,5310
"Tuba1a",1856,1478,3785,569,1214,3633,3286,5365,2513,5252
"Rhebl1",172,144,401,112,115,318,356,409,287,469
"Dhh",0,0,0,2,0,0,0,0,0,0
"Kmt2d",600,356,622,1326,1129,488,690,375,512,313
"Tuba1c",2114,1463,9317,2059,1778,4741,4348,8282,5124,7578
"C1ql4",0,0,0,0,0,0,0,0,0,0
"Mir6960",0,0,0,0,0,0,0,0,0,0
"Troap",0,8,51,0,0,0,83,100,0,79
"Prph",65,31,134,0,0,10,15,94,100,28
"4930578M01Rik",218,231,80,252,126,97,84,110,94,71
"Dnajc22",15,0,5,0,0,11,9,30,1,42
"Spats2",43,36,42,0,74,52,40,22,16,85
"Kcnh3",12,21,0,0,0,33,7,2,24,19
"Mcrs1",39,106,382,21,21,258,165,369,1,139
"Prpf40b",41,53,104,1,49,43,126,165,68,180
"Fam186b",0,0,0,0,0,0,0,0,0,0
"1700120C14Rik",0,0,24,0,0,22,16,0,0,0
"Bcdin3d",120,194,41,0,35,106,103,159,294,160
"Tmbim6",2204,2685,2473,654,1394,3508,3616,5092,2255,3612
"Nckap5l",23,0,0,1,0,22,21,24,71,64
"Aqp2",0,0,0,0,0,0,0,0,0,0
"Faim2",0,0,0,0,0,0,0,14,0,0
"Aqp5",0,0,0,63,52,0,24,802,0,69
"Aqp6",0,0,0,0,0,0,0,0,0,0
"Cox14",843,491,1417,315,594,1324,1644,1507,1181,1589
"Asic1",11,0,0,23,0,2,1,59,4,44
"Racgap1",132,290,515,202,163,183,280,256,61,220
"Smarcd1",150,165,579,201,121,209,171,337,77,291
"Gpd1",98,129,48,91,6,70,66,170,21,27
"Lima1",896,695,2436,608,730,1963,2061,2432,1848,2781
"2310068J16Rik",42,63,0,0,0,0,0,0,0,0
"1700030F18Rik",0,0,0,0,0,0,0,0,0,0
"Atf1",108,271,138,83,159,232,242,267,370,364
"Tmprss12",0,0,0,0,0,0,0,0,0,0
"Mettl7a1",71,85,131,0,26,125,109,43,60,116
"Mettl7a2",0,2,1,0,0,0,0,0,0,0
"Methig1",0,0,0,0,0,0,0,0,0,0
"Mettl7a3",0,0,0,0,0,0,0,0,0,0
"Higd1c",0,0,0,0,0,0,0,0,0,0
"Csrnp2",0,117,11,0,1,0,32,20,0,21
"Letmd1",189,176,844,22,99,481,470,350,463,423
"Gm5475",0,6,122,9,24,2,0,0,25,0
"Pou6f1",130,60,76,5,110,98,94,186,81,180
"Mir6961",0,0,0,0,0,0,0,0,0,0
"Dazap2",2715,3064,4599,1167,1899,4841,4690,6863,4266,6609
"Smagp",269,329,749,391,258,549,390,1110,441,581
"C330013E15Rik",0,0,58,0,0,19,26,38,0,65
"Galnt6",200,252,423,725,436,238,431,371,150,540
"I730030J21Rik",44,96,109,7,31,15,100,52,25,127
"Cela1",26,8,33,44,22,1,12,15,69,20
"Fignl2",0,0,123,30,66,26,59,48,50,59
"Acvrl1",127,340,390,419,54,555,643,310,422,622
"Ankrd33",0,0,0,0,0,0,0,0,0,0
"Nr4a1",1331,2515,865,199,281,1774,2207,2577,1384,1324
"Mir6962",0,0,0,0,0,0,0,0,0,0
"Atg101",361,233,1319,243,234,451,599,713,627,912
"Grasp",356,158,1049,301,121,580,930,2046,765,882
"AU021063",0,0,18,0,0,0,0,0,0,0
"A330009N23Rik",12,0,0,32,0,46,6,0,0,52
"6030408B16Rik",0,0,0,0,0,0,0,0,0,0
"Krt7",0,40,0,14,0,2,0,151,0,34
"Mir1941",0,0,0,0,0,0,0,0,0,0
"Krt80",2,0,0,0,0,0,0,0,0,0
"Krt87",0,0,0,0,0,0,0,0,0,0
"Krt82",0,0,0,0,0,0,0,0,0,0
"Krt86",0,0,4,0,0,0,0,0,0,0
"Krt90",0,0,0,0,0,0,0,0,0,0
"Krt84",0,0,0,0,0,0,0,0,0,0
"Krt83",41,0,6,0,0,31,18,1,1,3
"Krt75",0,0,0,0,0,0,0,0,0,0
"Gm6042",0,0,0,0,0,0,0,0,0,0
"Krt81",0,0,0,0,0,0,0,0,0,0
"Gm5478",0,0,0,0,0,0,0,0,0,0
"Gm5414",0,0,0,0,0,0,0,0,0,0
"Krt6b",0,0,0,0,0,0,0,0,0,0
"Krt6a",0,0,0,0,0,52,0,0,0,20
"Gm5476",0,0,0,0,0,0,0,0,0,0
"Gm5477",0,0,0,0,0,0,0,0,0,0
"Krt2",0,0,0,0,0,0,0,0,0,0
"Krt72",0,0,0,0,0,0,0,0,0,0
"Krt71",0,0,0,0,0,0,0,0,0,0
"Krt73",0,0,0,0,0,0,0,0,0,0
"Krt74",0,0,0,0,0,0,0,0,0,0
"Krt78",0,0,0,0,0,0,0,0,0,0
"Krt4",0,0,0,0,0,0,0,0,0,0
"Krt1",0,0,0,0,0,0,0,0,0,0
"Krt79",0,0,61,0,0,41,20,0,0,61
"Krt76",0,0,0,0,0,0,0,0,0,0
"Krt77",0,0,0,0,0,0,0,0,0,0
"Krt8",0,0,0,61,0,0,0,339,0,184
"Krt18",35,44,0,180,125,12,0,1786,16,242
"Eif4b",1076,664,1624,1253,806,1032,995,1958,1138,1367
"Zfp740",410,622,1210,236,135,643,510,1038,885,702
"Itgb7",637,770,2213,473,509,704,1359,1173,1141,1094
"Csad",645,1018,947,263,303,943,857,1135,646,730
"Igfbp6",0,0,0,0,0,0,1,0,0,0
"Soat2",0,1,17,0,26,22,42,7,32,0
"Spryd3",566,324,1362,391,361,807,741,872,580,930
"Sp7",0,0,0,0,0,0,0,0,0,0
"Pfdn5",3789,3205,4825,2076,2799,6333,6015,9553,5204,6950
"Myg1",148,95,143,169,51,135,210,385,117,262
"Aaas",209,189,328,125,130,146,342,460,201,362
"Espl1",157,54,286,23,62,125,112,375,208,252
"Mfsd5",350,168,1074,200,169,364,416,912,386,552
"Sp1",997,804,810,589,666,1014,985,1175,978,800
